Average Speed,Vehicle Count,Timestamp,Street1,City1,Latitude1,Longitude1,Street2,City2,Latitude2,Longitude2,Nearest Centroid
38,7,2014-03-25 17:45:00,Viborgvej,Tilst,56.182637286706964,56.17941549701764,Aarhus,10.113531440475526,10.130153804893553,Viborgvej,n/a
40,1,2014-03-25 17:45:00,Nordre Ringgade,Aarhus,56.17243586196818,56.17606861552515,Aarhus,10.209219127208598,10.201770887067823,Randersvej,n/a
26,0,2014-03-25 17:45:00,Paludan-Müllers Vej,Aarhus,56.170278565367,56.16929516572502,Aarhus,10.186652602364234,10.194526468751974,Vestre Ringgade,n/a
59,4,2014-03-25 17:45:00,Mejlbyvej,Ega,56.210806441766366,56.22020076302727,Ega,10.269670626983498,10.267762215938546,Mejlbyvej,n/a
71,2,2014-03-25 17:45:00,Landevejen,Tranbjerg,56.10097260933967,56.085683261757154,Tranbjerg,10.140579996364522,10.12394711408615,Landevejen,n/a
21,0,2014-03-25 17:45:00,Paludan-Müllers Vej,Aarhus,56.179322409643085,56.178623267668705,Aarhus,10.175338207340246,10.18461071717934,Hasle Ringvej,n/a
16,1,2014-03-25 17:45:00,Ålykkevej,Risskov,56.20251117218925,56.20913963031665,Risskov,10.250786139881143,10.246642527612721,Viengevej,n/a
25,6,2014-03-25 17:45:00,Paludan-Müllers Vej,Aarhus,56.170278565367,56.17389164456407,Aarhus,10.186652602364234,10.182183959489976,Paludan-Müllers Vej,n/a
37,3,2014-03-25 17:45:00,Randersvej,Aarhus,56.19922307868954,56.19677547153966,Risskov,10.182444749668093,10.216211542327983,Vejlby Centervej,n/a
40,3,2014-03-25 17:45:00,Strandvejen,Aarhus,56.136738858609256,56.144719132186395,Aarhus,10.20776318039134,10.20872971106246,Strandvejen,n/a
24,1,2014-03-25 17:45:00,Anelystvej,Tilst,56.18277313796047,56.16716656043954,Tilst,10.101564720237775,10.093516609210042,Anelystvej,n/a
56,0,2014-03-25 17:45:00,Skanderborgvej,Aarhus,56.13844851575673,56.13241046310714,Aarhus,10.179150601188667,10.174677478504236,Christian X's Vej,n/a
0,0,2014-03-25 17:45:00,Viby Ringvej,Aarhus,56.13203209461566,56.14051551675728,Aarhus,10.157658842922274,10.154338145998054,Viby Ringvej,n/a
65,8,2014-03-25 17:45:00,Landevejen,Tranbjerg,56.0855852379219,56.10097260933967,Tranbjerg,10.124126151537894,10.140579996364522,Landevejen,n/a
15,0,2014-03-25 17:45:00,Viborgvej,Aarhus,56.169148028055325,56.16798814878688,Aarhus,10.161062711639374,10.151387677246134,Åby Ringvej,n/a
33,11,2014-03-25 17:45:00,Viby Ringvej,Aarhus,56.148242094184255,56.16018043015113,Aarhus,10.149874309192683,10.143520804893456,Åby Ringvej,n/a
36,1,2014-03-25 17:45:00,Skanderborgvej,Aarhus,56.13844851575673,56.131053962866226,Aarhus,10.179150601188667,10.166163050262412,Skanderborgvej,n/a
50,1,2014-03-25 17:45:00,Grenåvej,Ega,56.21163929866206,56.210806441766366,Ega,10.277436490737955,10.269670626983498,Mejlbyvej,n/a
49,4,2014-03-25 17:45:00,Nørrebrogade,Aarhus,56.16816672029917,56.17606861552515,Aarhus,10.207060089618722,10.201770887067823,Randersvej,n/a
